Sr_No,Hospital_Name,State,District,Pincode,Ambulance_Phone_No,State_ID,District_ID
1,Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman,744101,112,35,640
2,Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman,744101,112,35,640
3,Maricar Hospital,Andaman and Nicobar Islands,South Andaman,744103,112,35,640
4,Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,744103,112,35,640
5,"G B Pant Hospital, Port Blair",Andaman and Nicobar Islands,South Andaman,744103,112,35,640
6,"Care Hospital, Banjara",Andhra Pradesh,Hyderabad,500034,112,28,0
7,Aasha Hospitals,Andhra Pradesh,Anantapur,515001,112,28,553
8,Abhaya Kidney Care Multispeciality Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
9,Baby Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
10,Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur,515001,112,28,553
11,Dr.Ysr Memorial Hospitals,Andhra Pradesh,Anantapur,515001,112,28,553
12,Hrudaya Children Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
13,"Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur,515001,112,28,553
14,K K Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
15,Meda Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
16,Mnr Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
17,Mythri Hospitals,Andhra Pradesh,Anantapur,515001,112,28,553
18,Padmavathi Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
19,Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
20,Prasanthi Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
21,Priya Multispeciality Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
22,Ravitej Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
23,Santhi Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
24,Sri Prakash Eye Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
25,Sri Sai Balaji Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
26,Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
27,Sri Sai Venkateshwara Surgical Clinic,Andhra Pradesh,Anantapur,515001,112,28,553
28,Sudhir Surgical Clinic,Andhra Pradesh,Anantapur,515001,112,28,553
29,Suma Eye Clinic,Andhra Pradesh,Anantapur,515001,112,28,553
30,Swetha Ent Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
31,Vaatsalya Hospital(Ananthapur),Andhra Pradesh,Anantapur,515001,112,28,553
32,Varun Children's Hospital,Andhra Pradesh,Anantapur,515001,112,28,553
33,Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Andhra Pradesh,Anantapur,515001,112,28,553
34,Vijaya Nursing Home,Andhra Pradesh,Anantapur,515001,112,28,553
35,Divyasree Hospital,Andhra Pradesh,Anantapur,515002,112,28,553
36,Mamatha Nursing Home,Andhra Pradesh,Anantapur,515004,112,28,553
37,Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur,515005,112,28,553
38,Balaji Nursing Home,Andhra Pradesh,Anantapur,515201,112,28,553
39,Dr B V Syamala Ratnam Hospiatal,Andhra Pradesh,Anantapur,515201,112,28,553
40,Girish Multispeciality Hospital,Andhra Pradesh,Anantapur,515201,112,28,553
41,Shilpa Hospital,Andhra Pradesh,Anantapur,515201,112,28,553
42,Sreenivasa Nursing Home,Andhra Pradesh,Anantapur,515201,112,28,553
43,Teja Nursing Home,Andhra Pradesh,Anantapur,515201,112,28,553
44,Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur,515411,112,28,553
45,Sri Kanchani Hospital,Andhra Pradesh,Anantapur,515411,112,28,553
46,Sri Veja Hospital,Andhra Pradesh,Anantapur,515411,112,28,553
47,Azad Diabetic Centre,Andhra Pradesh,Anantapur,515591,112,28,553
48,Devi Nursing Home,Andhra Pradesh,Anantapur,515671,112,28,553
49,Spandana Hospital,Andhra Pradesh,Anantapur,515671,112,28,553
50,Preethi Nursing Home,Andhra Pradesh,Anantapur,515801,112,28,553
51,Babu Nursing Home - Chittoor,Andhra Pradesh,Chittoor,517001,112,28,554
52,Dr. Agarwals Eye Hospital Ltd.,Andhra Pradesh,Chittoor,517001,112,28,554
53,Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor,517001,112,28,554
54,Dr. V. K. R. Nursing Home and Scan Centre,Andhra Pradesh,Chittoor,517001,112,28,554
55,Lakshmi Hospital,Andhra Pradesh,Chittoor,517001,112,28,554
56,Ravi Nursing Home - Chitoor,Andhra Pradesh,Chittoor,517001,112,28,554
57,S.M.Clinic,Andhra Pradesh,Chittoor,517001,112,28,554
58,Sreelatha Modern Eye Hospital And Research Centre,Andhra Pradesh,Chittoor,517001,112,28,554
59,Sujatha Nursing Home,Andhra Pradesh,Chittoor,517001,112,28,554
60,Apollo Hospitals Aragonda,Andhra Pradesh,Chittoor,517129,112,28,554
61,Balaji Hospital,Andhra Pradesh,Chittoor,517247,112,28,554
62,Vijaya Nursing Home,Andhra Pradesh,Chittoor,517247,112,28,554
63,Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
64,Bhavya Child Care Center,Andhra Pradesh,Chittoor,517325,112,28,554
65,Bhavyas Children Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
66,Chandra Mohan's Nursing Home,Andhra Pradesh,Chittoor,517325,112,28,554
67,Desai Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
68,Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor,517325,112,28,554
69,Emergency Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
70,Gupta Nursing Home,Andhra Pradesh,Chittoor,517325,112,28,554
71,Kathasagaram Hospitals,Andhra Pradesh,Chittoor,517325,112,28,554
72,Leo Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
73,M.V.L Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
74,Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor,517325,112,28,554
75,Popular Nursing Home,Andhra Pradesh,Chittoor,517325,112,28,554
76,Rama Orthopaedic Nursing Home,Andhra Pradesh,Chittoor,517325,112,28,554
77,Shantharam Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
78,Siloam Eye Centre,Andhra Pradesh,Chittoor,517325,112,28,554
79,Siloam Orthopaedic and Trauma Centre,Andhra Pradesh,Chittoor,517325,112,28,554
80,Sri Kaveri Speciality Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
81,Usha Speciality Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
82,Viswa Orthopaedic Hospital,Andhra Pradesh,Chittoor,517325,112,28,554
83,Saraswathi Maternity Nursing Home,Andhra Pradesh,Chittoor,517408,112,28,554
84,P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor,517425,112,28,554
85,Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor,517425,112,28,554
86,Sri Priya Nursing Home,Andhra Pradesh,Chittoor,517425,112,28,554
87,Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
88,Apollo Rural Hospitals,Andhra Pradesh,Chittoor,517501,112,28,554
89,Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor,517501,112,28,554
90,Balaji Institute Of Surgery Research And Rehabilit,Andhra Pradesh,Chittoor,517501,112,28,554
91,Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
92,Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
93,Clinic Nisha,Andhra Pradesh,Chittoor,517501,112,28,554
94,Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
95,Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor,517501,112,28,554
96,Gayatri Hospital Tirupati,Andhra Pradesh,Chittoor,517501,112,28,554
97,Harshitha Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
98,Lotus Emergency Hosptial,Andhra Pradesh,Chittoor,517501,112,28,554
99,M S Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
